priority,domain,category
858,wechselgeld.com,foreign-language
859,wechsle.com,foreign-language
860,werkruimte.com,foreign-language
861,wijzigen.com,foreign-language
862,yasukura.com,foreign-language
863,amantini.com,names-places
864,anthonyappleby.com,names-places
865,apetlon.com,names-places
866,appleby.cv,names-places
867,barriogotico.com,names-places
868,engaru.com,names-places
869,guilhon.com,names-places
870,ianstirling.com,names-places
871,kathyappleby.com,names-places
872,lekkerkerk.com,names-places
873,lescalet.com,names-places
874,luchow.com,names-places
875,mickletrafford.com,names-places
876,rijswijck.com,names-places
877,sabinanigo.com,names-places
878,sanquirino.com,names-places
879,westzaan.com,names-places
880,wildsteig.com,names-places
881,impishly.com,generic-word
882,kiloampere.com,generic-word
883,parallelled.com,generic-word
884,wave-length.com,generic-word
885,pure-north.com,misc
886,skyfreedom.com,misc
