domain,category,subcategory,method
saunalamp.com,home-garden,pools-spas,llm
scrappysite.com,web-digital,web,llm
screenpads.com,consumer-products,electronics,llm
secondhandvan.com,automotive,commercial-vehicles,llm
secondhandvansforsale.com,automotive,commercial-vehicles,llm
secretpresents.com,consumer-products,gifts,llm
seed-sheets.com,home-garden,garden,llm
selectionneur.com,sports-leisure,general,llm
senciente.com,foreign-language,spanish,llm
seniorenwoningen.com,property,general,llm
servercooling.com,industrial-equipment,general,llm
sharedbestpractice.com,business-services,general,llm
sharedbestpractise.com,business-services,general,llm
sheetmaterial.com,industrial-equipment,materials,llm
shellfish-farming.com,agriculture-farming,farming,llm
shippingstorage.com,transport-parking,logistics,llm
shower-toilets.com,home-garden,heating-plumbing,llm
shrink-sleeve.com,packaging-print,packaging,llm
silikate.com,foreign-language,german,llm
siteprogressor.com,web-digital,web,llm
siteworkers.com,business-services,jobs-hire,llm
skattekiste.com,foreign-language,danish,llm
skilletpans.com,consumer-products,kitchenware,llm
skiprental.com,home-garden,services,llm
skyfreedom.com,misc,general,llm
sleepingsensor.com,health-medical,equipment,llm
slevio.com,brandable-short,pronounceable,llm
slidingfoldingdoor.com,home-garden,windows-doors,llm
smallmicrowaves.com,consumer-products,appliances,llm
smartphone-deal.com,consumer-products,electronics,llm
snorkeling-masks.com,sports-leisure,watersports,llm
snorkelling-masks.com,sports-leisure,watersports,llm
snorkellingmasks.com,sports-leisure,watersports,llm
sognovacanza.com,travel,general,llm
soilexcavation.com,home-garden,building-trades,llm
solderen.com,foreign-language,dutch,llm
solidwallinsulation.com,home-garden,energy,llm
solorpanels.com,home-garden,energy,llm
sophiasbox.com,consumer-products,gifts,llm
soundcameras.com,industrial-equipment,test-measurement,llm
southernprints.co.uk,packaging-print,print-services,llm
speelhuisjes.com,consumer-products,kids-baby,llm
spermatozoa.com,health-medical,general,llm
stablecoin.biz,financial,investing,llm
standing-desks.com,home-garden,furnishings,llm
starterbattery.com,automotive,parts-accessories,llm
statichome.com,property,park-homes,llm
staycationretreats.com,travel,accommodation,llm
steel-frames.com,home-garden,building-trades,llm
steellintel.com,home-garden,building-trades,llm
stekkerblok.com,consumer-products,electronics,llm
stocks-analyst.com,financial,investing,llm
stoptheglare.com,home-garden,windows-doors,llm
stretch-ceilings.com,home-garden,building-trades,llm
stretched-ceilings.com,home-garden,building-trades,llm
strukturiert.com,foreign-language,german,llm
studentvacancies.com,business-services,jobs-hire,llm
summarisation.com,ai-tech,ai,llm
superbowlonline.com,sports-leisure,general,llm
supercardealership.com,automotive,general,llm
supercarhireuk.com,automotive,general,llm
supercarlease.com,automotive,leasing,llm
swimmingpoolhire.com,home-garden,pools-spas,llm
swisswealthm.com,financial,investing,llm
sydneyautorentals.com,travel,car-hire,llm
syntheticfiberropes.com,industrial-equipment,lifting,llm
tail-lift.com,automotive,commercial-vehicles,llm
tankerloading.com,industrial-equipment,storage-tanks,llm
taxistuttgart.org,transport-parking,taxi,llm
teahampers.com,consumer-products,gifts,llm
teakdresser.com,home-garden,furnishings,llm
tegelwerk.com,home-garden,building-trades,llm
teknolojisa.com,foreign-language,turkish,llm
teleprojector.com,consumer-products,electronics,llm
telescopen.com,consumer-products,electronics,llm
tensile-testing.com,industrial-equipment,test-measurement,llm
terracepaint.com,home-garden,building-trades,llm
thailandstocks.com,financial,investing,llm
the-modern-developer.com,ai-tech,software,llm
thecurrencyrate.com,financial,foreign-exchange,llm
thepasturedegg.com,food-drink,general,llm
thrive-creative.com,web-digital,design,llm
tiletrimmer.com,home-garden,tools-diy,llm
tiletrimmers.com,home-garden,tools-diy,llm
tischrechner.com,consumer-products,office-stationery,llm
tolet.biz,property,rentals,llm
toletonline.com,property,rentals,llm
toprackets.com,sports-leisure,general,llm
tourercaravans.com,automotive,leisure-vehicles,llm
traction-boards.com,automotive,parts-accessories,llm
tradefuturesonline.com,financial,investing,llm
tradenonline.com,financial,investing,llm
traderboltai.com,financial,investing,llm
trafficmodelling.com,business-services,engineering,llm
treadmill-sale.com,sports-leisure,fitness,llm
treadmill-sales.com,sports-leisure,fitness,llm
trekkingsaddles.com,sports-leisure,cycling,llm
turbinelease.com,energy-utilities,power,llm
turboreconditioning.com,automotive,services,llm
turf-mesh.com,home-garden,driveways-ground,llm
turrettrucks.com,industrial-equipment,storage-handling,llm
ukairtaxis.com,aviation,charter,llm
ukbiota.com,education,nature,llm
ukvouchercode.com,consumer-products,retail,llm
umstrukturierung.com,business-services,general,llm
underwaternavigation.com,marine,equipment,llm
universityleeds.com,education,general,llm
urgestalt.com,foreign-language,german,llm
urlaubhaus.com,travel,accommodation,llm
usb-microphones.com,consumer-products,electronics,llm
usedaeroplanes.com,aviation,sales,llm
usedcommercialsforsale.com,automotive,commercial-vehicles,llm
usedrefrigeratedvans.com,automotive,commercial-vehicles,llm
uslongbond.com,financial,investing,llm
uurtjes.com,foreign-language,dutch,llm
vaartuig.com,marine,general,llm
vacanzaperfetta.com,travel,general,llm
valuechainoptimization.com,business-services,general,llm
vanconverter.com,automotive,leisure-vehicles,llm
vanleasehire.com,automotive,leasing,llm
vantaxis.com,transport-parking,taxi,llm
vantradecenter.com,automotive,commercial-vehicles,llm
vantradecentre.com,automotive,commercial-vehicles,llm
vantyres.com,automotive,parts-accessories,llm
vectorstorage.com,ai-tech,ai,llm
vegan-skincare.com,beauty-personal-care,skincare,llm
veilig-beleggen.com,financial,investing,llm
velcroseatcovers.com,automotive,parts-accessories,llm
ventilateurs.com,consumer-products,appliances,llm
verhuismanager.com,home-garden,services,llm
verschuldet.com,financial,credit-debt,llm
vessellease.com,marine,leasing,llm
vetcollege.org,pets-vet,general,llm
vetcolleges.org,pets-vet,general,llm
vetmedicine.uk,pets-vet,general,llm
vetsait.com,pets-vet,general,llm
vibration-plates.com,sports-leisure,fitness,llm
vidaartificial.com,ai-tech,ai,llm
vinrose.com,food-drink,wine,llm
vinylstrips.com,industrial-equipment,materials,llm
violin-bow.com,music,instruments,llm
violoncelliste.com,music,instruments,llm
viuty.shop,brandable-short,pronounceable,llm
vivirmoderno.com,foreign-language,spanish,llm
voicecontrol.io,ai-tech,ai,llm
voucherscodes.com,consumer-products,retail,llm
vulcate.com,brandable-short,pronounceable,llm
waderboots.com,sports-leisure,fishing,llm
wall-printing.com,packaging-print,print-services,llm
wallpaperhanger.com,home-garden,building-trades,llm
water-flossers.com,health-medical,general,llm
water-truck.com,automotive,commercial-vehicles,llm
wave-length.com,generic-word,general,llm
wayfaringlondoner.com,travel,general,llm
wealth-fund.com,financial,investing,llm
webuyanycarandvan.com,automotive,general,llm
wechselgeld.com,foreign-language,german,llm
wechsle.com,foreign-language,german,llm
weight-benches.com,sports-leisure,fitness,llm
weldplastic.com,industrial-equipment,materials,llm
wemakecoldcalls.com,web-digital,marketing,llm
werkruimte.com,foreign-language,dutch,llm
westzaan.com,names-places,geographic,llm
wha888.com,brandable-short,numeric,llm
whatvacancy.com,business-services,jobs-hire,llm
wheelie-bin.com,consumer-products,household,llm
wheelie-bins.com,consumer-products,household,llm
wheely-bin.com,consumer-products,household,llm
whichlaptops.com,tools-comparison,general,llm
wijzigen.com,foreign-language,dutch,llm
wildsteig.com,names-places,geographic,llm
wireless-mic.com,consumer-products,electronics,llm
wireless-mics.com,consumer-products,electronics,llm
wirtschaftslehre.com,education,general,llm
womandaybook.com,consumer-products,office-stationery,llm
womensvolleyball.co.uk,sports-leisure,general,llm
womensvolleyball.uk,sports-leisure,general,llm
woodenmedals.com,consumer-products,gifts,llm
worldfauna.com,education,nature,llm
worldofgym.com,sports-leisure,fitness,llm
worldpokerlive.com,sports-leisure,gaming,llm
wzorki.com,foreign-language,polish,llm
xraylease.com,health-medical,equipment,llm
yacht-photography.com,marine,services,llm
yachtingropes.com,marine,equipment,llm
yasukura.com,foreign-language,japanese,llm
zavarovalnica.com,financial,insurance,llm
zeichenkohle.com,consumer-products,art-craft,llm
zeichenstift.com,consumer-products,art-craft,llm
